parameters,fit_value,mirror,function,dipole_force,Particles,iterations,Inertia,Cognitive,Social,Runtime
"[90.0, -90.0, 133.836, 325.893, 16.773, 45.0, 3.05, 5.0, 0.661, 0.339, 5.0, 0.0]",0.7229126910755908,-1,pencil,True,50,50,0.4,1,2,26.670473900041543
"[-90.0, -55.825, 107.34, 0.0, -35.413, -45.0, 3.05, 5.0, 0.0, 1.0, 4.796, 0.0]",0.7455878550290931,-1,pencil,True,50,50,0.4,1,2,25.92688340001041
"[-90.0, -55.818, 77.039, 0.0, 31.579, -45.0, 3.0, 5.0, 0.024, 0.976, 1.183, 0.0]",0.7459813273309822,-1,pencil,True,50,50,0.4,1,2,25.394222199975047
"[45.468, -90.0, 123.56, 326.88, 38.992, 25.266, 3.05, 5.0, 1.0, 0.0, 5.0, 0.0]",0.6457857920604879,-1,pencil,True,50,50,0.4,1,2,25.007121600036044
"[-77.98, -54.451, 53.541, 0.0, 19.074, -45.0, 3.05, 5.0, 0.048, 0.952, 4.981, 0.0]",0.6398851774751898,-1,pencil,True,50,50,0.4,1,2,27.730320000031497
"[27.308, 82.223, 90.653, 153.421, -26.051, 45.0, 3.05, 4.199, 0.0, 1.0, 2.59, 0.0]",0.5863066686356897,-1,pencil,True,50,50,0.4,1,2,27.526637899980415
"[-78.538, -53.521, 44.271, 0.0, 25.712, -41.45, 3.05, 5.0, 1.0, 0.0, 4.656, 0.0]",0.6280419967276856,-1,pencil,True,50,50,0.4,1,2,26.214230000041425
"[83.37, 5.98, 45.89, 228.205, -17.554, 45.0, 3.007, 5.0, 0.0, 1.0, 1.0, 0.0]",0.6548115346803023,-1,pencil,True,50,50,0.4,1,2,24.48224499996286
"[-66.746, 70.013, 72.7, 128.519, -20.726, -45.0, 3.021, 5.0, 0.0, 1.0, 5.0, 0.0]",0.660400511015574,-1,pencil,True,50,50,0.4,1,2,25.108749100007117
"[-80.494, 41.309, 94.417, 101.317, -28.402, -45.0, 3.034, 5.0, 0.0, 1.0, 1.0, 0.0]",0.689184097239163,-1,pencil,True,50,50,0.4,1,2,24.44250020000618
"[-19.179, -84.221, 72.907, 329.741, 45.0, -19.081, 3.05, 5.0, 1.0, 0.0, 4.943, 0.0]",0.6413959658085007,-1,pencil,True,50,50,0.4,1,2,25.56656710000243
"[-78.444, -53.501, 44.249, 0.0, 25.777, -41.319, 3.049, 5.0, 1.0, 0.0, 4.994, 0.0]",0.62800456017855,-1,pencil,True,50,50,0.4,1,2,26.621904900006484
"[-90.0, -55.897, 46.14, 360.0, 16.792, -45.0, 3.05, 5.0, 0.0, 1.0, 1.001, 0.0]",0.7229125204319409,-1,pencil,True,50,50,0.4,1,2,27.29239429999143
"[78.775, 51.152, 52.852, 183.125, -18.564, 45.0, 3.012, 5.0, 0.003, 0.997, 1.0, 0.0]",0.6418711210341008,-1,pencil,True,50,50,0.4,1,2,26.10668829997303
"[90.0, 90.0, 48.304, 146.046, -14.737, 45.0, 3.0, 5.0, 0.0, 1.0, 5.0, 0.0]",0.7240928433197944,-1,pencil,True,50,50,0.4,1,2,26.058168799965642
"[90.0, -90.0, 133.86, 325.897, 16.792, 45.0, 3.05, 5.0, 0.548, 0.452, 1.238, 0.0]",0.7229125208150673,-1,pencil,True,50,50,0.4,1,2,27.196415700018406
"[37.445, 82.404, 48.154, 150.983, -45.0, 42.462, 3.0, 1.0, 0.446, 0.554, 5.0, 0.0]",0.7303240568786535,-1,pencil,True,50,50,0.4,1,2,26.111308499996085
"[84.146, 8.128, 47.405, 226.281, -16.404, 44.998, 3.001, 5.0, 0.0, 1.0, 3.697, 0.0]",0.6549315021568486,-1,pencil,True,50,50,0.4,1,2,25.32099489995744
"[-4.953, -90.0, 133.065, 326.166, 45.0, -35.333, 3.05, 5.0, 1.0, 0.0, 1.0, 0.0]",0.666115109519521,-1,pencil,True,50,50,0.4,1,2,27.524265700019896
"[39.064, -78.166, 75.487, 319.623, 45.0, 32.496, 3.007, 3.503, 0.0, 1.0, 2.972, 0.0]",0.6135046092969629,-1,pencil,True,50,50,0.4,1,2,26.718421300000045
"[-90.0, -55.884, 133.863, 0.013, -16.794, -45.0, 3.05, 5.0, 0.56, 0.44, 1.0, 0.0]",0.7229125224785102,-1,pencil,True,50,50,0.4,1,2,27.043329299951438
"[12.833, 55.123, 59.3, 136.99, -45.0, -23.215, 3.05, 4.566, 0.082, 0.918, 1.0, 0.0]",0.5696301381339296,-1,pencil,True,50,50,0.4,1,2,26.46058880002238
"[83.482, -3.947, 45.56, 238.587, -16.708, 44.939, 3.05, 5.0, 0.13, 0.87, 1.083, 0.0]",0.6576743872381727,-1,pencil,True,50,50,0.4,1,2,28.307537899992894
"[83.726, -15.498, 45.919, 250.148, -15.461, 45.0, 3.039, 5.0, 0.0, 1.0, 1.0, 0.0]",0.6616401021828476,-1,pencil,True,50,50,0.4,1,2,26.59072139998898
"[5.018, 90.0, 132.745, 146.169, -45.0, 34.813, 3.0, 5.0, 0.979, 0.021, 5.0, 0.0]",0.6662068673255755,-1,pencil,True,50,50,0.4,1,2,26.80822880001506
"[-90.0, -55.826, 107.329, 360.0, -35.403, -45.0, 3.05, 5.0, 0.377, 0.623, 5.0, 0.0]",0.7455878440094355,-1,pencil,True,50,50,0.4,1,2,26.760236100002658
"[-59.323, 90.0, 105.43, 146.142, -17.454, -45.0, 3.05, 5.0, 1.0, 0.0, 5.0, 0.0]",0.7019441333290894,-1,pencil,True,50,50,0.4,1,2,25.851599600049667
"[-90.0, -55.89, 132.657, 0.0, -15.638, -45.0, 3.0, 5.0, 1.0, 0.0, 2.363, 0.0]",0.72372899487764,-1,pencil,True,50,50,0.4,1,2,26.26809129997855
"[59.653, -74.758, 64.256, 312.839, 19.487, 45.0, 3.049, 5.0, 0.012, 0.988, 1.0, 0.0]",0.6538815911881957,-1,pencil,True,50,50,0.4,1,2,24.936463099962566
"[-90.0, -55.751, 62.02, 0.0, 45.0, -43.793, 3.05, 5.0, 0.365, 0.635, 1.005, 0.0]",0.7519055037152269,-1,pencil,True,50,50,0.4,1,2,29.494880700018257
"[-90.0, -55.897, 133.86, 0.0, -16.791, -45.0, 3.05, 5.0, 0.705, 0.295, 1.0, 0.0]",0.7229125203259413,-1,pencil,True,50,50,0.4,1,2,28.120580499991775
"[80.287, 46.414, 50.645, 187.895, -19.088, 45.0, 3.05, 5.0, 0.0, 1.0, 3.247, 0.0]",0.6414585333525372,-1,pencil,True,50,50,0.4,1,2,26.514734499971382
"[90.0, -15.487, 105.041, 251.295, 33.395, 45.0, 3.02, 5.0, 1.0, 0.0, 2.341, 0.0]",0.7459333586402175,-1,pencil,True,50,50,0.4,1,2,25.320422999968287
"[-90.0, -89.074, 102.941, 326.745, -31.561, -45.0, 3.0, 5.0, 0.699, 0.301, 4.711, 0.0]",0.7459813214617598,-1,pencil,True,50,50,0.4,1,2,25.64203369995812
"[3.713, -82.88, 46.418, 322.639, 45.0, 34.702, 3.008, 5.0, 0.979, 0.021, 1.0, 0.0]",0.6000175637810847,-1,pencil,True,50,50,0.4,1,2,26.919376600009855
"[-90.0, -55.824, 77.041, 360.0, 31.575, -45.0, 3.0, 5.0, 0.0, 1.0, 4.194, 0.0]",0.7459814058346426,-1,pencil,True,50,50,0.4,1,2,25.94676999998046
"[90.0, 46.099, 174.595, 360.0, 45.0, -45.0, 3.0, 3.643, 0.419, 0.581, 1.0, 0.0]",2.1303181001944522,-1,pencil,True,50,50,0.4,1,2,29.459417400008533
"[-90.0, -55.897, 133.859, 0.0, -16.791, -45.0, 3.05, 5.0, 1.0, 0.0, 1.0, 0.0]",0.7229125206267211,-1,pencil,True,50,50,0.4,1,2,26.696837500028778
"[90.0, -63.139, 72.654, 298.954, -35.418, 45.0, 3.05, 5.0, 1.0, 0.0, 5.0, 0.0]",0.7455881480477946,-1,pencil,True,50,50,0.4,1,2,25.715820600045845
"[-52.635, -75.963, 73.838, 339.395, 20.441, -45.0, 3.05, 4.086, 0.997, 0.003, 1.0, 0.0]",0.618046404786931,-1,pencil,True,50,50,0.4,1,2,26.100274200027343
