parameters,fit_value,mirror,function,dipole_force,Particles,iterations,Inertia,Cognitive,Social,Runtime
"[90.0, 50.627, 89.443, 183.53, -22.396, 45.0, 3.0, 5.0, 0.246, 0.754, 1.0, 0.0]",0.345299895019862,-1,pencil,True,50,50,0.4,1,2,27.597534100001212
"[22.575, 44.62, 89.752, 280.222, 32.539, 45.0, 3.012, 1.0, 0.282, 0.718, 1.0, 0.0]",0.35807036646132356,-1,pencil,True,50,50,0.4,1,2,26.82033129996853
"[-13.676, -90.0, 125.292, 326.18, 45.0, -33.99, 3.004, 5.0, 0.967, 0.033, 5.0, 0.0]",0.30854964407018237,-1,pencil,True,50,50,0.4,1,2,26.732748800015543
"[12.873, 53.74, 54.609, 128.656, -37.643, -30.192, 3.034, 5.0, 0.998, 0.002, 3.504, 0.0]",0.24968058659773137,-1,pencil,True,50,50,0.4,1,2,26.297245800029486
"[-46.744, 73.773, 85.318, 136.347, -45.0, -33.478, 3.0, 3.925, 0.044, 0.956, 5.0, 0.0]",0.2899971945307462,-1,pencil,True,50,50,0.4,1,2,26.5343542000046
"[-43.97, 31.56, 52.177, 334.024, 39.13, 37.34, 3.017, 2.251, 0.939, 0.061, 1.0, 0.0]",0.35906100591752105,-1,pencil,True,50,50,0.4,1,2,26.221722699992824
"[-29.57, 79.27, 69.692, 140.557, -45.0, -32.839, 3.05, 3.942, 0.869, 0.131, 2.858, 0.0]",0.2876802193693058,-1,pencil,True,50,50,0.4,1,2,27.21543050004402
"[54.357, 90.0, 91.832, 146.485, -45.0, 35.627, 3.025, 4.3, 0.0, 1.0, 2.995, 0.0]",0.307337429360673,-1,pencil,True,50,50,0.4,1,2,26.591343299951404
"[-76.783, -54.892, 54.918, 0.0, 19.109, -45.0, 3.05, 5.0, 0.957, 0.043, 2.21, 0.0]",0.3011761213690785,-1,pencil,True,50,50,0.4,1,2,25.25490959995659
"[-90.0, 40.609, 91.327, 7.398, -23.446, 23.247, 3.003, 5.0, 1.0, 0.0, 4.824, 0.0]",0.44274597536000737,-1,pencil,True,50,50,0.4,1,2,24.247047599987127
