parameters,fit_value,mirror,function,dipole_force,Particles,iterations,Inertia,Cognitive,Social,Runtime
"[-82.324, 29.168, 96.414, 88.447, -28.396, -45.0, 3.049, 5.0, 0.681, 0.319, 2.217, 0.0]",0.1140658053884406,-1,pencil,True,50,50,0.4,1,2,38.419253399944864
"[-90.0, -55.71, 133.09, 0.0, -15.529, -45.0, 3.05, 5.0, 1.0, 0.0, 1.0, 0.0]",0.12507510438250505,-1,pencil,True,50,50,0.4,1,2,42.48105060000671
"[90.0, -58.422, 132.984, 294.111, 15.46, 45.0, 3.05, 5.0, 0.38, 0.62, 4.772, 0.0]",0.1250765707298446,-1,pencil,True,50,50,0.4,1,2,34.26314940000884
"[45.894, 20.134, 72.565, 198.301, -27.226, 33.838, 3.0, 4.353, 1.0, 0.0, 1.0, 0.0]",0.08860501302948032,-1,pencil,True,50,50,0.4,1,2,37.62035179999657
"[82.53, 30.11, 50.396, 204.547, -16.681, 45.0, 3.0, 5.0, 0.732, 0.268, 5.0, 0.0]",0.10023826492116109,-1,pencil,True,50,50,0.4,1,2,35.14767480001319
"[-77.356, -54.816, 55.214, 360.0, 18.028, -45.0, 3.0, 5.0, 0.073, 0.927, 4.693, 0.0]",0.09708081240879494,-1,pencil,True,50,50,0.4,1,2,37.3589864000096
"[-42.102, 79.531, 63.947, 138.746, -30.965, -41.174, 3.05, 5.0, 1.0, 0.0, 4.703, 0.0]",0.09407992942242285,-1,pencil,True,50,50,0.4,1,2,35.52172969997628
"[-78.084, -53.412, 44.574, 0.0, 26.061, -41.284, 3.05, 5.0, 1.0, 0.0, 2.38, 0.0]",0.09327963229885286,-1,pencil,True,50,50,0.4,1,2,38.68401420000009
"[-90.0, 50.405, 91.571, 349.296, -25.182, 45.0, 3.05, 5.0, 0.882, 0.118, 1.0, 0.0]",1.1900642319676513,-1,pencil,True,50,50,0.4,1,2,35.801810700038914
"[76.192, -57.826, 84.09, 296.781, 22.984, 45.0, 3.031, 5.0, 0.866, 0.134, 1.214, 0.0]",0.1054983484486332,-1,pencil,True,50,50,0.4,1,2,34.265599700040184
"[-42.805, 28.425, 139.543, 120.716, -45.0, -45.0, 3.05, 5.0, 0.485, 0.515, 1.0, 0.0]",0.6367848116664814,-1,pencil,True,50,50,0.4,1,2,35.878714699996635
