parameters,fit_value,mirror,function,dipole_force,Particles,iterations,Inertia,Cognitive,Social,Runtime
"[-56.811, 90.0, 89.99, 146.206, -44.997, -35.579, 3.05, 3.732, 0.16, 0.84, 1.0, 0.0]",1.0295500580831691,-1,pencil,True,50,50,0.4,1,2,25.70375790001708
"[90.0, -88.404, 45.975, 324.327, -17.108, 45.0, 3.05, 5.0, 0.801, 0.199, 5.0, 0.0]",1.056805596113917,-1,pencil,True,50,50,0.4,1,2,26.51908870000625
"[-27.738, -82.001, 90.059, 333.546, 26.026, -44.951, 3.05, 4.142, 1.0, 0.0, 1.182, 0.0]",0.9883178434406105,-1,pencil,True,50,50,0.4,1,2,26.617895399976987
"[-77.614, -54.403, 53.661, 0.0, 18.547, -45.0, 3.05, 4.821, 0.0, 1.0, 4.992, 0.0]",1.0157412985217185,-1,pencil,True,50,50,0.4,1,2,27.794614600017667
"[-90.0, -55.917, 47.17, 0.0, 15.958, -45.0, 3.0, 5.0, 0.947, 0.053, 3.362, 0.0]",1.0572200833338423,-1,pencil,True,50,50,0.4,1,2,26.337616100005107
"[-90.0, -55.924, 134.026, 0.0, -17.109, -45.0, 3.05, 5.0, 1.0, 0.0, 2.594, 0.0]",1.056805595455812,-1,pencil,True,50,50,0.4,1,2,26.679276799986837
"[-58.278, 76.382, 61.908, 134.353, -18.958, -45.0, 3.0, 5.0, 1.0, 0.0, 1.003, 0.0]",1.023628194957882,-1,pencil,True,50,50,0.4,1,2,25.081847099994775
"[-78.047, -54.349, 53.282, 0.0, 19.205, -45.0, 3.05, 5.0, 1.0, 0.0, 5.0, 0.0]",1.015988767397313,-1,pencil,True,50,50,0.4,1,2,27.622301700001117
"[-39.815, 78.122, 75.838, 139.566, -45.0, -32.478, 3.005, 3.459, 0.906, 0.094, 4.019, 0.0]",1.0024010684608142,-1,pencil,True,50,50,0.4,1,2,27.262040600006003
"[-43.323, 78.15, 78.585, 139.487, -44.991, -32.949, 3.05, 3.454, 0.0, 1.0, 5.0, 0.0]",1.00273816885979,-1,pencil,True,50,50,0.4,1,2,26.864633500023047
"[83.608, 16.761, 47.277, 217.596, -17.287, 45.0, 3.02, 4.995, 1.0, 0.0, 4.37, 0.0]",1.0210337610760762,-1,pencil,True,50,50,0.4,1,2,25.441139700007625
"[83.391, -30.161, 44.755, 265.024, -14.856, 45.0, 3.012, 5.0, 0.0, 1.0, 4.059, 0.0]",1.029485098233026,-1,pencil,True,50,50,0.4,1,2,25.34175769999274
"[-90.0, -55.924, 45.973, 0.0, 17.11, -45.0, 3.05, 5.0, 0.999, 0.001, 1.0, 0.0]",1.056805595741849,-1,pencil,True,50,50,0.4,1,2,25.912178999977186
"[85.835, 46.089, 5.149, 360.0, -45.0, -45.0, 3.0, 5.0, 0.0, 1.0, 3.728, 0.0]",1.7138458955006384,-1,pencil,True,50,50,0.4,1,2,28.367207800009055
"[51.916, 90.0, 94.35, 146.204, -45.0, 34.768, 3.05, 3.613, 0.999, 0.001, 1.0, 0.0]",1.0290951366377261,-1,pencil,True,50,50,0.4,1,2,26.834651199984364
"[-90.0, -55.918, 45.945, 360.0, 17.123, -45.0, 3.05, 5.0, 1.0, 0.0, 4.255, 0.0]",1.0568060041923624,-1,pencil,True,50,50,0.4,1,2,27.489820000017062
"[61.967, 90.0, 112.079, 145.919, -21.272, 45.0, 3.05, 5.0, 0.0, 1.0, 2.075, 0.0]",1.04972026507478,-1,pencil,True,50,50,0.4,1,2,38.35459619999165
"[-77.78, -54.4, 53.393, 360.0, 18.697, -45.0, 3.05, 4.831, 1.0, 0.0, 5.0, 0.0]",1.0157500076995007,-1,pencil,True,50,50,0.4,1,2,35.45515080000041
"[90.0, 82.759, 75.838, 153.161, -32.422, 45.0, 3.0, 5.0, 0.85, 0.15, 5.0, 0.0]",1.0689431318007978,-1,pencil,True,50,50,0.4,1,2,33.49238260000129
"[-90.0, -55.924, 134.027, 0.0, -17.11, -45.0, 3.05, 5.0, 1.0, 0.0, 4.574, 0.0]",1.0568055956278102,-1,pencil,True,50,50,0.4,1,2,35.12096840000595
